sensor_name,sensor_type,tracker,velocity_scale,mean_velocity_px_s,power_mW,required_fps,actual_fps,contrast_threshold,fps_fraction,price,mota,motp,idf1,id_switches,num_gt,num_pred
Lichtsteiner 2008,DVS,centroid,2,41.9,19.19,,,0.1,,N/A (research),-0.3036194088825668,0.3755307871156507,0.12199066262417857,1144.4,12654.0,11563.2
Lichtsteiner 2008,DVS,centroid,10,209.7,19.39,,,0.1,,N/A (research),-0.30159633317528056,0.3756497565521099,0.11927226199037047,1162.2,12654.0,11593.0
Lichtsteiner 2008,DVS,centroid,5,104.8,19.27,,,0.1,,N/A (research),-0.30635372214319584,0.3758022886404106,0.12163665230545395,1174.6,12654.0,11587.2
Lichtsteiner 2008,DVS,centroid,500,10484.5,21.62,,,0.1,,N/A (research),-0.31700648016437494,0.37717927686258845,0.14733478515542067,379.2,12654.0,11116.6
Lichtsteiner 2008,DVS,centroid,1,21.0,19.17,,,0.1,,N/A (research),-0.29829302987197726,0.37419210840891715,0.12644008451985408,1141.8,12654.0,11582.0
Lichtsteiner 2008,DVS,iou,2,41.9,19.19,,,0.1,,N/A (research),-0.141220167535957,0.37458484621495336,0.11412122469082461,960.8,12654.0,9119.0
Lichtsteiner 2008,DVS,centroid,50,1048.5,20.4,,,0.1,,N/A (research),-0.2923502449818239,0.37635674857959933,0.12834555138892997,1094.4,12654.0,11585.8
Lichtsteiner 2008,DVS,centroid,20,419.4,19.64,,,0.1,,N/A (research),-0.29954164691006796,0.3765055297996262,0.1230120607253778,1177.4,12654.0,11583.8
Lichtsteiner 2008,DVS,centroid,100,2096.9,21.62,,,0.1,,N/A (research),-0.28724513987671885,0.37442726089206646,0.12955884412211743,943.8,12654.0,11553.0
DAVIS346,DVS,centroid,1,21.0,10.0,,,0.1,,"~$3,000 (dev kit)",0.2833570412517781,0.3350103175193367,0.30017122480273695,1335.4,12654.0,11946.6
DAVIS346,DVS,centroid,2,41.9,10.0,,,0.1,,"~$3,000 (dev kit)",0.2833570412517781,0.3350210950497694,0.29882844430063626,1341.6,12654.0,11931.2
DAVIS346,DVS,centroid,5,104.8,10.01,,,0.1,,"~$3,000 (dev kit)",0.2732890785522365,0.3351628774792266,0.29971323956156176,1365.0,12654.0,11953.6
DAVIS346,DVS,centroid,10,209.7,10.02,,,0.1,,"~$3,000 (dev kit)",0.27071281808123915,0.3341890427327093,0.30221045399961,1411.0,12654.0,11959.0
DAVIS346,DVS,centroid,20,419.4,10.05,,,0.1,,"~$3,000 (dev kit)",0.28223486644539275,0.3351341139171777,0.30266000906448054,1433.6,12654.0,11958.6
Lichtsteiner 2008,DVS,iou,20,419.4,19.64,,,0.1,,N/A (research),-0.13598862019914648,0.3750322113068099,0.11400954408176285,981.2,12654.0,9166.4
Lichtsteiner 2008,DVS,iou,10,209.7,19.39,,,0.1,,N/A (research),-0.140493124703651,0.37471858258914337,0.11233390211833646,976.2,12654.0,9163.6
DAVIS346,DVS,centroid,100,2096.9,10.25,,,0.1,,"~$3,000 (dev kit)",0.2797692429271376,0.33343446818310934,0.3004195563538984,1368.0,12654.0,11965.8
DAVIS346,DVS,centroid,50,1048.5,10.12,,,0.1,,"~$3,000 (dev kit)",0.274158368895211,0.33424220705603236,0.30367980692694835,1375.8,12654.0,11962.6
Lichtsteiner 2008,DVS,iou,5,104.8,19.27,,,0.1,,N/A (research),-0.14112533586217796,0.37456076794053683,0.11373989579782548,969.4,12654.0,9113.6
DAVIS346,DVS,centroid,500,10484.5,11.24,,,0.1,,"~$3,000 (dev kit)",0.28011695906432754,0.3363775422022542,0.3058038537714697,1344.2,12654.0,11946.8
DAVIS346,DVS,centroid,200,4193.8,10.5,,,0.1,,"~$3,000 (dev kit)",0.27422159001106367,0.33395795819612817,0.30098041803924747,1395.4,12654.0,11945.4
Lichtsteiner 2008,DVS,iou,1,21.0,19.17,,,0.1,,N/A (research),-0.1339339339339339,0.3732276080881399,0.11750124605577275,940.4,12654.0,9141.6
Lichtsteiner 2008,DVS,iou,500,10484.5,21.62,,,0.1,,N/A (research),-0.23527738264580372,0.3767655888103052,0.11760479193148518,420.0,12654.0,9606.8
Lichtsteiner 2008,DVS,iou,50,1048.5,20.4,,,0.1,,N/A (research),-0.13850165955429117,0.3748631877555709,0.11581251631386251,947.2,12654.0,9202.2
Lichtsteiner 2008,DVS,centroid,200,4193.8,21.62,,,0.1,,N/A (research),-0.2881776513355461,0.37737507708671636,0.12712494609570618,657.0,12654.0,11319.6
DAVIS346,DVS,iou,1,21.0,10.0,,,0.1,,"~$3,000 (dev kit)",0.33187924766872134,0.334383104443026,0.2588446292308059,1191.4,12654.0,11115.8
Lichtsteiner 2008,DVS,iou,100,2096.9,21.62,,,0.1,,N/A (research),-0.1401454085664612,0.37312245359514973,0.1206430202285135,810.0,12654.0,9307.0
Lichtsteiner 2008,DVS,iou,200,4193.8,21.62,,,0.1,,N/A (research),-0.16799431009957325,0.3762453000212931,0.11284340843902238,629.2,12654.0,9326.2
DAVIS346,DVS,iou,2,41.9,10.0,,,0.1,,"~$3,000 (dev kit)",0.3340761814446025,0.33445145050086506,0.25666033320545345,1167.0,12654.0,11087.2
DAVIS346,DVS,iou,5,104.8,10.01,,,0.1,,"~$3,000 (dev kit)",0.32936620831357677,0.334630385172317,0.26108232730323805,1153.0,12654.0,11080.0
DAVIS346,DVS,iou,20,419.4,10.05,,,0.1,,"~$3,000 (dev kit)",0.33820135925399086,0.33411669527793875,0.2546306062267661,1190.4,12654.0,11076.4
DAVIS346,DVS,iou,10,209.7,10.02,,,0.1,,"~$3,000 (dev kit)",0.3259838786154575,0.3335699364710184,0.25300020485273844,1156.0,12654.0,11106.2
DAVIS346,DVS,iou,50,1048.5,10.12,,,0.1,,"~$3,000 (dev kit)",0.3241978820926189,0.3336517646843876,0.25402051015214605,1182.2,12654.0,11111.0
DAVIS346,DVS,iou,100,2096.9,10.25,,,0.1,,"~$3,000 (dev kit)",0.33508771929824566,0.3327012023589945,0.26452452850471997,1146.6,12654.0,11125.2
DAVIS346,DVS,iou,200,4193.8,10.5,,,0.1,,"~$3,000 (dev kit)",0.32720088509562195,0.3332461247015442,0.24915078707073945,1204.2,12654.0,11073.8
DAVIS346,DVS,iou,500,10484.5,11.24,,,0.1,,"~$3,000 (dev kit)",0.32852852852852854,0.33544892501848367,0.25417818249151447,1162.2,12654.0,11092.6
Samsung DVS-Gen3.1,DVS,centroid,1,21.0,10.0,,,0.1,,~$100-300 (module),0.8494547178757704,0.2402767741512975,0.725456533827425,408.6,12654.0,12277.6
Samsung DVS-Gen3.1,DVS,centroid,2,41.9,10.0,,,0.1,,~$100-300 (module),0.8417891575786312,0.240677742593145,0.7017703021476772,455.8,12654.0,12273.8
Samsung DVS-Gen3.1,DVS,centroid,5,104.8,10.01,,,0.1,,~$100-300 (module),0.8433538801959856,0.24041211563715265,0.7164540436956455,421.8,12654.0,12282.8
Samsung DVS-Gen3.1,DVS,centroid,10,209.7,10.01,,,0.1,,~$100-300 (module),0.8439070649596966,0.24073117580408737,0.7412371028442831,447.4,12654.0,12270.2
Samsung DVS-Gen3.1,DVS,centroid,20,419.4,10.02,,,0.1,,~$100-300 (module),0.8450924608819346,0.24045706616361456,0.7313479708772754,447.8,12654.0,12276.0
Samsung DVS-Gen3.1,DVS,centroid,50,1048.5,10.05,,,0.1,,~$100-300 (module),0.8444602497234076,0.24025936294991954,0.7314662490447613,418.8,12654.0,12286.6
Samsung DVS-Gen3.1,DVS,centroid,200,4193.8,10.2,,,0.1,,~$100-300 (module),0.8434329065908013,0.23973129049214542,0.7220938089253226,416.8,12654.0,12280.8
Samsung DVS-Gen3.1,DVS,centroid,100,2096.9,10.1,,,0.1,,~$100-300 (module),0.8462936620831357,0.24041815378490283,0.728546426057201,450.2,12654.0,12282.0
Samsung DVS-Gen3.1,DVS,centroid,500,10484.5,10.51,,,0.1,,~$100-300 (module),0.8467045993361783,0.24130812176321204,0.7283675854699296,462.8,12654.0,12276.2
Lichtsteiner 2008,DVS,sort,500,10484.5,21.62,,,0.1,,N/A (research),-0.21770191243875453,0.37736296054069024,0.12523597454378638,403.6,12654.0,9430.4
Samsung DVS-Gen3.1,DVS,iou,1,21.0,10.0,,,0.1,,~$100-300 (module),0.8621937727200886,0.23987754488070018,0.7600624646008556,321.2,12654.0,12135.8
Samsung DVS-Gen3.1,DVS,iou,5,104.8,10.01,,,0.1,,~$100-300 (module),0.858511142721669,0.23996599056617823,0.7582172989682199,305.8,12654.0,12133.0
Samsung DVS-Gen3.1,DVS,iou,2,41.9,10.0,,,0.1,,~$100-300 (module),0.8563774300616405,0.24030003320071644,0.7499989370303,347.6,12654.0,12135.4
Lichtsteiner 2008,DVS,sort,200,4193.8,21.62,,,0.1,,N/A (research),-0.1334439702860756,0.3756774033775081,0.12463982269815702,596.0,12654.0,8893.0
Lichtsteiner 2008,DVS,sort,100,2096.9,21.62,,,0.1,,N/A (research),-0.08160265528686583,0.3725055360641803,0.14222051691693569,714.0,12654.0,8654.6
Lichtsteiner 2008,DVS,sort,20,419.4,19.64,,,0.1,,N/A (research),-0.05753121542595228,0.37277482546965596,0.1374955184816112,786.6,12654.0,8320.6
Lichtsteiner 2008,DVS,sort,10,209.7,19.39,,,0.1,,N/A (research),-0.055840050576892696,0.3723785076199274,0.13789498674185396,758.2,12654.0,8312.4
Samsung DVS-Gen3.1,DVS,iou,10,209.7,10.01,,,0.1,,~$100-300 (module),0.857325746799431,0.2403164032629151,0.7417697812614898,337.8,12654.0,12140.8
Samsung DVS-Gen3.1,DVS,iou,20,419.4,10.02,,,0.1,,~$100-300 (module),0.8587640271850798,0.24006214132482154,0.7511507401568466,340.0,12654.0,12138.0
Samsung DVS-Gen3.1,DVS,iou,50,1048.5,10.05,,,0.1,,~$100-300 (module),0.8560929350403035,0.2397836375708285,0.7467613866297929,331.8,12654.0,12136.8
Lichtsteiner 2008,DVS,sort,2,41.9,19.19,,,0.1,,N/A (research),-0.05021337126600285,0.3721054403638027,0.14760871978285034,756.4,12654.0,8299.0
Lichtsteiner 2008,DVS,sort,5,104.8,19.27,,,0.1,,N/A (research),-0.055571360834518746,0.37099835610953724,0.14458795039564812,757.6,12654.0,8263.2
Samsung DVS-Gen3.1,DVS,iou,200,4193.8,10.2,,,0.1,,~$100-300 (module),0.8555397502765925,0.23930014064645194,0.7404510076511606,327.6,12654.0,12136.4
Samsung DVS-Gen3.1,DVS,iou,100,2096.9,10.1,,,0.1,,~$100-300 (module),0.8614667298877825,0.2399771904522301,0.7453807193438275,317.0,12654.0,12140.8
Samsung DVS-Gen3.1,DVS,iou,500,10484.5,10.51,,,0.1,,~$100-300 (module),0.8587166113481903,0.24091977394554212,0.7390569091932899,364.2,12654.0,12139.2
Lichtsteiner 2008,DVS,sort,50,1048.5,20.4,,,0.1,,N/A (research),-0.05520783941836575,0.3714080797684055,0.14586027751210762,734.8,12654.0,8442.2
Lichtsteiner 2008,DVS,sort,1,21.0,19.17,,,0.1,,N/A (research),-0.05049786628734001,0.3712918010308226,0.14533520808275982,758.6,12654.0,8292.0
DAVIS346,DVS,sort,10,209.7,10.02,,,0.1,,"~$3,000 (dev kit)",0.49609609609609606,0.3164098026799594,0.38248777710294474,755.6,12654.0,10838.4
DAVIS346,DVS,sort,1,21.0,10.0,,,0.1,,"~$3,000 (dev kit)",0.5030662241188557,0.31732451269139,0.4022455782811285,734.2,12654.0,10874.4
DAVIS346,DVS,sort,2,41.9,10.0,,,0.1,,"~$3,000 (dev kit)",0.5009325114588272,0.31562066844401904,0.39479023146847736,738.8,12654.0,10854.4
DAVIS346,DVS,sort,5,104.8,10.01,,,0.1,,"~$3,000 (dev kit)",0.4947210368263,0.3173709420637195,0.40120673215181546,749.8,12654.0,10834.0
DAVIS346,DVS,sort,500,10484.5,11.24,,,0.1,,"~$3,000 (dev kit)",0.49407302038880985,0.3179328478035945,0.38329854918468687,745.4,12654.0,10841.8
DAVIS346,DVS,sort,200,4193.8,10.5,,,0.1,,"~$3,000 (dev kit)",0.4934566145092461,0.3149840357548279,0.37724772170774834,788.8,12654.0,10802.6
DAVIS346,DVS,sort,50,1048.5,10.12,,,0.1,,"~$3,000 (dev kit)",0.49160739687055477,0.31547697207176645,0.38675902487698177,734.4,12654.0,10867.6
DAVIS346,DVS,sort,100,2096.9,10.25,,,0.1,,"~$3,000 (dev kit)",0.49427848901533106,0.31620685180574243,0.3867377435539831,769.6,12654.0,10854.2
DAVIS346,DVS,sort,20,419.4,10.05,,,0.1,,"~$3,000 (dev kit)",0.49510036352141623,0.3165271530912463,0.37451251872246744,778.8,12654.0,10791.4
Prophesee IMX636,DVS,centroid,2,41.9,32.0,,,0.1,,"~$3,500 (EVK4 kit)",-0.5042516200410937,0.3639828400949951,0.073990544790114,862.2,12654.0,11126.6
Prophesee IMX636,DVS,centroid,1,21.0,32.0,,,0.1,,"~$3,500 (EVK4 kit)",-0.4978504820610084,0.36329345117052114,0.07509186817094486,853.8,12654.0,11140.0
Prophesee IMX636,DVS,centroid,5,104.8,32.0,,,0.1,,"~$3,500 (EVK4 kit)",-0.5057689268215585,0.3628029792951652,0.07186323736720454,887.8,12654.0,11146.6
Prophesee IMX636,DVS,centroid,20,419.4,32.01,,,0.1,,"~$3,500 (EVK4 kit)",-0.49824561403508766,0.3630664154869362,0.07570207675676828,884.4,12654.0,11149.6
Prophesee IMX636,DVS,centroid,10,209.7,32.01,,,0.1,,"~$3,500 (EVK4 kit)",-0.5031610557926347,0.36358975543703287,0.07410575979013681,869.4,12654.0,11144.8
Prophesee IMX636,DVS,centroid,50,1048.5,32.03,,,0.1,,"~$3,500 (EVK4 kit)",-0.4991465149359886,0.3685058642381974,0.075217007455975,866.2,12654.0,11150.0
Prophesee IMX636,DVS,centroid,100,2096.9,32.05,,,0.1,,"~$3,500 (EVK4 kit)",-0.5099257151888731,0.3656049914990086,0.07218447431745273,868.2,12654.0,11147.2
Prophesee IMX636,DVS,centroid,500,10484.5,32.25,,,0.1,,"~$3,500 (EVK4 kit)",-0.5451082661608977,0.3784054024135732,0.06868483584911014,755.4,12654.0,11111.2
Prophesee IMX636,DVS,iou,10,209.7,32.01,,,0.1,,"~$3,500 (EVK4 kit)",-0.21504662557294135,0.3636310234615346,0.08249207831743369,603.4,12654.0,7206.2
Prophesee IMX636,DVS,iou,1,21.0,32.0,,,0.1,,"~$3,500 (EVK4 kit)",-0.21834992887624466,0.36200210455509235,0.08377686979221213,598.0,12654.0,7296.2
Prophesee IMX636,DVS,centroid,200,4193.8,32.1,,,0.1,,"~$3,500 (EVK4 kit)",-0.5108740319266636,0.3704584837568592,0.07013406075754011,841.0,12654.0,11140.4
Prophesee IMX636,DVS,iou,5,104.8,32.0,,,0.1,,"~$3,500 (EVK4 kit)",-0.21926663505610877,0.36185679882420524,0.08291649585807895,614.6,12654.0,7230.0
Prophesee IMX636,DVS,iou,2,41.9,32.0,,,0.1,,"~$3,500 (EVK4 kit)",-0.21958274063537223,0.36323356435291637,0.08000655230598186,604.8,12654.0,7270.2
Prophesee IMX636,DVS,iou,50,1048.5,32.03,,,0.1,,"~$3,500 (EVK4 kit)",-0.2112375533428165,0.36797538305790783,0.08566940762514634,608.6,12654.0,7230.8
Prophesee IMX636,DVS,iou,20,419.4,32.01,,,0.1,,"~$3,500 (EVK4 kit)",-0.221653232179548,0.36254508848818107,0.08028728967505062,633.2,12654.0,7315.2
Prophesee IMX636,DVS,iou,500,10484.5,32.25,,,0.1,,"~$3,500 (EVK4 kit)",-0.24518729255571362,0.3773113713067846,0.07351040297475905,580.4,12654.0,6981.0
Prophesee IMX636,DVS,iou,100,2096.9,32.05,,,0.1,,"~$3,500 (EVK4 kit)",-0.22740635372214318,0.3649500353966168,0.07744222541336858,614.0,12654.0,7324.4
Prophesee IMX636,DVS,iou,200,4193.8,32.1,,,0.1,,"~$3,500 (EVK4 kit)",-0.21686423265370633,0.3693304524359524,0.0825840913235901,623.2,12654.0,7137.8
Samsung DVS-Gen3.1,DVS,sort,1,21.0,10.0,,,0.1,,~$100-300 (module),0.899272957167694,0.20337496957911122,0.8335782615179974,196.8,12654.0,12097.4
OV7251 (OmniVision),CIS,centroid,5,104.8,40.0,17.4,120.0,,1.0,~$3-5,0.9140350877192983,0.17020301201485433,0.8673720983891249,171.6,12654.0,11848.6
OV7251 (OmniVision),CIS,centroid,2,41.9,40.0,7.0,120.0,,1.0,~$3-5,0.9257784099889363,0.147219229159032,0.8926269902645638,141.2,12654.0,11856.4
OV7251 (OmniVision),CIS,centroid,10,209.7,40.0,34.8,120.0,,1.0,~$3-5,0.8266002844950213,0.1981572507329279,0.7547844075051331,311.6,12654.0,11860.6
OV7251 (OmniVision),CIS,centroid,1,21.0,40.0,3.5,120.0,,1.0,~$3-5,0.9290501027343133,0.1414383415894528,0.8849955499022402,126.6,12654.0,11883.2
Samsung DVS-Gen3.1,DVS,sort,2,41.9,10.0,,,0.1,,~$100-300 (module),0.8931088983720563,0.2035025462278864,0.8178155639546144,214.0,12654.0,12091.4
OV7251 (OmniVision),CIS,centroid,100,2096.9,40.0,348.3,120.0,,1.0,~$3-5,0.29048522206416943,0.1669766977549325,0.321863730246359,535.4,12654.0,6632.4
Samsung DVS-Gen3.1,DVS,sort,10,209.7,10.01,,,0.1,,~$100-300 (module),0.8926979611190138,0.2034712700031532,0.8165645055526589,211.2,12654.0,12090.6
Samsung DVS-Gen3.1,DVS,sort,5,104.8,10.01,,,0.1,,~$100-300 (module),0.8925715188873082,0.20336693252472987,0.8142234218704164,202.6,12654.0,12092.0
Samsung DVS-Gen3.1,DVS,sort,50,1048.5,10.05,,,0.1,,~$100-300 (module),0.8964122016753595,0.2031527446443643,0.8328284290854256,188.0,12654.0,12091.6
OV7251 (OmniVision),CIS,centroid,500,10484.5,40.0,1741.7,120.0,,1.0,~$3-5,0.35757863126284184,0.14040848337324247,0.41372487113287076,154.4,12654.0,4679.2
OV7251 (OmniVision),CIS,centroid,200,4193.8,40.0,696.7,120.0,,1.0,~$3-5,0.3407934250039514,0.1458525194920023,0.36193720825315256,246.4,12654.0,5024.8
Samsung DVS-Gen3.1,DVS,sort,20,419.4,10.02,,,0.1,,~$100-300 (module),0.8949581160107476,0.2028465462496723,0.8195424638111651,207.8,12654.0,12102.6
OV7251 (OmniVision),CIS,centroid,50,1048.5,40.0,174.2,120.0,,1.0,~$3-5,0.2700015805278963,0.20153317950125613,0.3341209902428608,907.6,12654.0,9714.6
Samsung DVS-Gen3.1,DVS,sort,200,4193.8,10.2,,,0.1,,~$100-300 (module),0.8945787893156314,0.20154286837571922,0.8087428014777778,191.8,12654.0,12083.8
Samsung DVS-Gen3.1,DVS,sort,100,2096.9,10.1,,,0.1,,~$100-300 (module),0.8943259048522206,0.2033372857858437,0.818722521504484,199.4,12654.0,12093.8
OV7251 (OmniVision),CIS,centroid,20,419.4,40.0,69.7,120.0,,1.0,~$3-5,0.561245455982298,0.215822035437377,0.5043882232653679,755.6,12654.0,11636.4
Samsung DVS-Gen3.1,DVS,sort,500,10484.5,10.51,,,0.1,,~$100-300 (module),0.8967441125335862,0.20375121752877118,0.8190371075643835,212.6,12654.0,12091.6
OV7251 (OmniVision),CIS,iou,1,21.0,40.0,3.5,120.0,,1.0,~$3-5,0.934297455350087,0.14143529064558621,0.9260997375766575,60.0,12654.0,11883.0
OV7251 (OmniVision),CIS,iou,5,104.8,40.0,17.4,120.0,,1.0,~$3-5,0.917196143511933,0.16990798379742938,0.8438158301449917,113.0,12654.0,11810.0
OV7251 (OmniVision),CIS,iou,10,209.7,40.0,34.8,120.0,,1.0,~$3-5,0.8103840682788052,0.19666515880516822,0.6395313916147923,506.6,12654.0,11590.8
OV7251 (OmniVision),CIS,iou,100,2096.9,40.0,348.3,120.0,,1.0,~$3-5,0.3305516042358148,0.16326829007442684,0.3601397856027617,369.6,12654.0,5996.0
OV7251 (OmniVision),CIS,iou,2,41.9,40.0,7.0,120.0,,1.0,~$3-5,0.9312786470681207,0.1472135329994516,0.9310983545423397,71.2,12654.0,11856.0
OV7251 (OmniVision),CIS,iou,20,419.4,40.0,69.7,120.0,,1.0,~$3-5,0.5572941362415047,0.2134488437993458,0.45282051255171085,1053.8,12654.0,11001.4
OV7251 (OmniVision),CIS,iou,50,1048.5,40.0,174.2,120.0,,1.0,~$3-5,0.3251778093883357,0.19794188228708892,0.3429760736594605,798.2,12654.0,8701.8
OV7251 (OmniVision),CIS,iou,200,4193.8,40.0,696.7,120.0,,1.0,~$3-5,0.35146198830409353,0.14517099269453276,0.3976584897585715,176.0,12654.0,4865.4
OV7251 (OmniVision),CIS,iou,500,10484.5,40.0,1741.7,120.0,,1.0,~$3-5,0.35975975975975977,0.14045534714592484,0.4529816969429568,107.4,12654.0,4659.8
IMX327 (Sony),CIS,centroid,1,21.0,300.0,3.5,60.0,,1.0,~$15-25,0.9977556503872294,0.06371851026885442,0.9875652586616042,4.4,12654.0,12630.0
IMX327 (Sony),CIS,centroid,500,10484.5,300.0,1741.7,60.0,,1.0,~$15-25,0.3874348032242769,0.05865988272350716,0.48885676645743503,77.2,12654.0,4979.8
IMX327 (Sony),CIS,centroid,10,209.7,300.0,34.8,60.0,,1.0,~$15-25,0.9002212739054845,0.14502562461513754,0.8523836040338951,164.6,12654.0,12606.0
IMX327 (Sony),CIS,centroid,2,41.9,300.0,7.0,60.0,,1.0,~$15-25,0.9975027659238187,0.07432877376443842,0.9840373358645784,7.2,12654.0,12630.0
IMX327 (Sony),CIS,centroid,50,1048.5,300.0,174.2,60.0,,1.0,~$15-25,0.2962541488857278,0.1420312980757133,0.3936849984717261,796.0,12654.0,10395.2
IMX327 (Sony),CIS,centroid,200,4193.8,300.0,696.7,60.0,,1.0,~$15-25,0.3727675043464517,0.06438534594085064,0.4361918404416084,149.0,12654.0,5354.8
IMX327 (Sony),CIS,centroid,5,104.8,300.0,17.4,60.0,,1.0,~$15-25,0.9891575786312629,0.10828894356379368,0.9394863916355577,28.4,12654.0,12629.6
IMX327 (Sony),CIS,centroid,20,419.4,300.0,69.7,60.0,,1.0,~$15-25,0.6299826141931405,0.1671571169337903,0.6061659005880256,574.2,12654.0,12390.4
IMX327 (Sony),CIS,centroid,100,2096.9,300.0,348.3,60.0,,1.0,~$15-25,0.3178915757863126,0.09330059122043559,0.3718930335694381,413.8,12654.0,7082.4
OV7251 (OmniVision),CIS,sort,500,10484.5,40.0,1741.7,120.0,,1.0,~$3-5,0.36181444602497237,0.10101298720307061,0.4669905614504355,77.6,12654.0,4656.0
